state,area,very_dense,moderate_dense,open_forest,total_forest_area,percent_forest_area,change_since_last2,class
1,162968,1957,14051,12139,28147,17.27,1.31,caution
2,83743,20721,30955,15288,66964,79.96,-0.23,caution
3,78438,2797,10192,15116,28105,35.83,0.72,ok
4,94163,332,3260,3707,7299,7.75,0.05,caution
5,135192,7064,32215,16268,55547,41.09,-0.01,caution
6,1483,7,56,129,192,12.97,0.25,ok
7,3702,538,576,1115,2229,60.21,0.51,ok
8,196244,378,5200,9179,14757,7.52,0.02,caution
9,44212,28,452,1108,1588,3.59,0.02,caution
10,55673,3110,6705,5285,15100,27.12,0.71,ok
11,222236,4075,8579,10587,23241,10.46,0.11,caution
12,79716,2598,9686,11269,23553,29.55,0.04,ok
13,191791,4502,20444,12604,37550,19.58,0.57,caution
14,38852,1663,9407,8251,20321,5.23,2.68,ok
15,308252,6563,34571,36280,77414,25.11,0,caution
16,307713,8736,20652,21294,50682,16.47,-0.01,caution
17,22327,908,6510,9928,17346,77.69,1.18,ok
18,22429,453,9386,7307,17146,76.76,-0.52,caution
19,21081,131,5861,12194,18186,86.27,-2.52,caution
20,16579,1279,4587,6623,12489,75.33,-2.71,caution
21,155707,6967,21370,23008,51345,32.98,0.57,ok
22,50362,8,806,1023,1837,3.65,0.13,caution
23,342239,78,4340,12154,16572,4.84,0.14,caution
24,7096,1081,1575,688,3344,47.13,-0.13,caution
25,130060,3672,10979,11630,26281,20.21,0.06,ok
26,112077,1596,8738,10085,20419,18.22,0.05,caution
27,10486,656,5246,1824,7726,73.68,-1.56,caution
28,240928,2617,4069,7993,14679,6.09,0.12,caution
29,53483,4969,12884,6442,24295,45.43,0.04,ok
30,88752,2994,4147,9706,16847,18.98,0.02,caution
31,8249,5678,684,380,6742,81.73,-0.11,caution
32,114,1,14,6,22,18.91,-0.09,warning
33,491,0,80,127,207,42.16,0.02,ok
34,111,1,6,13,20,18.46,0.79,ok
35,30,0,17,10,27,90.33,0.13,ok
36,490,0,18,36,54,10.95,-0.67,warning
37,162968,1994,13938,13205,29137,17.88,3.52,ok
38,83743,21095,30557,15036,66688,79.63,-0.41,caution
39,78438,2795,10279,15253,28327,36.11,0.79,ok
40,94163,333,3280,3693,7306,7.76,0.1,ok
41,135192,7068,32198,16345,55611,41.12,0.12,ok
42,1483,6.72,56.42,132.3,195.44,13.18,1.57,ok
43,3702,538,576,1123,2237,60.43,0.36,ok
44,196244,378,5092,9387,14857,7.57,0.68,ok
45,44212,28,451,1123,1602,3.62,0.88,ok
46,55673,3113,7126,5195,15434,27.2,2.21,ok
47,222236,4281,8612,10719,23612,10.62,1.6,ok
48,79716,2603,9687,11321,23611,29.62,0.25,ok
49,191791,4501,21048,13026,38575,20.11,2.73,ok
50,38852,1935,9508,9701,21144,54.42,4.05,ok
51,308252,6676,34341,36465,77482,25.14,0.09,ok
52,307713,8721,200572,21485,50778,16.5,0.19,ok
53,22327,905,6386,9556,16847,75.46,-2.88,warning
54,22429,489,9267,7363,17119,76.33,-0.16,caution
55,21081,157,5801,12048,18006,85.41,-0.99,caution
56,16579,1273,4534,6679,12486,75.31,-0.02,caution
57,155707,6970,21552,23097,51619,33.15,0.53,ok
58,50362,8,801,1040,1849,3.67,0.65,ok
59,342239,78,4342,1221,16630,4.86,0.35,ok
60,7096,1102,1552,68,3342,47.1,-0.06,caution
61,130060,3605,11030,11729,26364,20.27,0.32,ok
62,112077,1608,8787,10187,20582,18.36,0.8,ok
63,10486,654,5236,1836,7726,73.68,0,ok
64,240928,2617,4080,8109,14806,6.15,0.87,ok
65,53483,5047,12805,6451,24303,45.4,0.03,ok
66,88752,3019,4160,9723,16902,19.04,0.33,ok
67,8249,5678,684,381,6743,81.74,0.01,ok
68,114,1.36,14.24,6.43,22.03,19.32,2.18,ok
69,491,0,80,127,207,42.16,0,ok
70,111,1.4,5.69,13.4,20.49,18.46,0,ok
71,30,0,16.09,11.01,27.1,90.33,0,ok
72,490,0,17.66,34.75,52.41,10.7,-2.35,warning
73,160204,375,13093,10956,24424,15.25,0.27,ok
74,83743,20804,31301,15143,67248,80.3,-0.11,caution
75,78438,1441,11268,14914,27623,35.22,-0.17,caution
76,94163,248,3376,3664,7288,7.74,-0.04,warning
77,135191,4152,34846,16588,55586,41.12,-0.06,ok
78,1483,6.94,57.15,124.68,188.77,12.73,4.75,ok
79,3702,542,5220,1102,2224,60.08,0.22,ok
80,196022,376,452,9064,14660,7.48,0.05,ok
81,44212,27,452,1105,1584,3.58,-0.13,warning
82,55673,3224,6381,5091,14696,26.4,0.09,ok
83,222236,4061,8815,10112,22988,10.34,1.96,ok
84,79714,2588,9663,11227,23478,29.45,0.02,ok
85,191791,1781,20063,14577,36421,18.99,0.79,caution
86,38863,1523,9301,8415,19239,49.5,6.85,ok
87,308245,6629,34902,35931,77462,25.13,-0.08,ok
88,307713,8712,20747,21169,50628,16.45,-0.01,caution
89,22327,727,5925,10342,16994,76.11,0.02,ok
90,22429,448,9584,7184,17217,76.76,-0.41,ok
91,21081,138,5858,12752,18748,88.93,-1.63,caution
92,16579,1296,4695,6975,12966,78.21,-0.6,caution
93,155707,7023,21470,21861,50354,32.34,0.01,ok
94,50362,0,735,1036,1771,3.52,-0.06,warning
95,342239,76,4426,11669,16171,4.73,0.53,caution
96,7096,500,2160,697,3357,47.31,-0.03,caution
97,130058,2993,10469,12883,26345,20.26,9.49,ok
98,114865,513,12712,8366,21591,18.8,-0.78,warning
99,10486,113,4609,3089,7811,74.49,0.77,ok
100,240928,2195,4060,8206,14461,6,-0.7,warning
101,53483,4754,13602,5884,24240,45.32,-1.11,warning
102,88752,2948,4172,9708,16828,18.96,0.14,caution
103,8249,5686,685,380,6751,81.84,0.59,ok
104,114,1.36,14.09,6.58,22.03,19.32,21.65,ok
105,491,0,80,126,206,41.96,-3.4,warning
106,112,1.4,5.82,12.39,19.61,17.51,52.73,ok
107,32,0,17.22,9.84,27.06,84.56,0,ok
108,480,0,29.68,25.7,55.38,11.54,9.61,ok
